,tas_winter,tas_spring,tas_summer,pr_winter,pr_spring,pr_summer,sfcWind_winter,sfcWind_spring,sfcWind_summer,hurs_winter,hurs_spring,hurs_summer,hfls_winter,hfls_spring,hfls_summer,VPD_winter,VPD_spring,VPD_summer,mrso_winter,mrso_spring,mrso_summer,evspsbl_winter,evspsbl_spring,evspsbl_summer
Temperate Steppe Regime Mountains,270.89497212487197,279.7973506568291,291.75257134692583,1.7544496870607037e-05,2.277845801141355e-05,1.3422780316359743e-05,3.339981361788217,3.552791315913217,3.0287210265879634,68.12981183481884,54.36397918803926,42.798496499947646,5.583662042329216,24.356438522599266,30.770406103285115,178.52702307377695,493.85783671418346,1288.906152680387,751.5622531525736,806.4318590989576,743.1664177093826,4.277049056695675e-06,1.935309839936966e-05,2.460830071944143e-05
Marine Regime Mountains,277.50818595524026,281.7548471087915,289.2967645677852,6.121873250184623e-05,3.6405801963710054e-05,1.1292870328105667e-05,4.460255436954656,4.025119351861619,3.675956190128292,81.80632604917349,71.90934636995394,65.43340894742832,13.406884002736284,24.368674696385487,27.943743680309847,157.5098886737575,322.79966371006253,684.8933215475381,659.1305666318485,666.3103536997589,599.7929041977022,1.0673914146847547e-05,1.946301676950423e-05,2.2348296178157554e-05
Temperate Desert Division,272.3732004091014,280.9435083086548,293.0539427771919,2.0421823001019693e-05,2.0852546281660813e-05,8.764589281438178e-06,2.996206101764994,3.2924954338139547,2.8448422492876975,68.32146097063529,52.76655484426198,36.769526241871915,5.999829942613008,24.42944393181494,24.70382144718957,199.73868687706766,561.1318088297922,1569.1306039001713,763.8850901211597,819.219855633322,741.4355209870062,4.659988459557823e-06,1.9455068191508375e-05,1.9756701867405112e-05
Tropical/Subtropical Desert Division,282.6357701719165,290.7661013464093,300.249026838311,9.25034922437487e-06,7.054255458948814e-06,1.1776232968082433e-05,3.2449629479896616,3.86475599533811,3.2203335274590486,48.512838889720314,34.83292149985199,37.56757769187861,10.924652828102918,16.237458612549702,21.197556773921484,649.2667229603325,1398.7179637845948,2309.680550571232,602.5712374928327,610.0997508998402,592.1124931259199,8.721380288942208e-06,1.298057635555625e-05,1.6952632480836303e-05
Tropical/Subtropical Steppe Division,281.413242103257,290.01683471183566,299.6319085352225,1.3322985911971141e-05,1.5750743030244432e-05,2.018226748301224e-05,4.144214373999154,4.72662721361232,3.9198448765527587,56.4908925725767,46.91998688811205,48.39401953258297,15.364518750324068,27.23099916459164,35.208487334811245,502.4404870022123,1051.6106165433052,1813.2562985817221,604.6989608757757,610.2496881283513,593.3225318033911,1.225514714186832e-05,2.1764067558213893e-05,2.815772452591174e-05
Tropical/Subtropical Regime Mountains,277.5074829494006,286.5898703071169,296.9346020655829,9.468020176747397e-06,1.0079364260713545e-05,1.5439803700788374e-05,3.493337520785871,4.229973493322549,3.24630622247973,50.87914419481919,34.15568071209085,38.33129481809038,8.210135022101968,18.04588548113755,23.93704508098505,450.40173329514903,1122.2426801596607,1880.6218549826153,644.2604961887631,659.1384773068877,630.6489723910573,6.492292416365896e-06,1.4396708512060611e-05,1.914345388625397e-05
Mediterranean Regime Mountains,281.5443668506507,285.2839420795077,292.62274781490544,3.245558214558326e-05,1.824118586901252e-05,3.21404315710727e-06,4.013611449413343,4.268721355465112,4.158928593169128,70.08660561034033,62.77510542179198,55.73555012445624,15.606717673233478,25.67416460274753,23.367526280784457,344.39679908903537,579.8895783288692,1187.6568208400922,515.686209740438,542.8831871683035,483.3890973935933,1.245132194668161e-05,2.0519954505115438e-05,1.8688117207319372e-05
Mediterranean Division,283.21620410316996,285.50230038537785,291.12844173495176,3.287672563784367e-05,1.7609211465355853e-05,2.8494441526873218e-06,4.691697702493981,5.046243886968777,5.024990284461354,73.87940311516886,69.38451500981606,65.824610814345,20.01376745283534,28.422584014279145,25.482510412371408,328.3791499059489,466.20358833549165,836.2537343944492,392.6957660670747,413.40855165380026,364.9275212668813,1.598823655004022e-05,2.2724270965377514e-05,2.037956792518171e-05
Temperate Desert Regime Mountains,273.5244302842031,283.07588572051486,296.17674333695993,1.1118844829066634e-05,1.3117266004511215e-05,6.002066172426031e-06,2.857912749788664,3.4979552464043957,3.0055709277327924,60.78921147388239,42.4228784270024,26.622976967490757,5.8111752919365385,21.395806296143807,14.60359806048547,273.6414684048116,792.2854633967669,2135.772473983991,688.4111933479037,730.49041170763,675.563728095098,4.552750684875922e-06,1.7072021391717223e-05,1.167905142398789e-05
