,tas_winter,tas_spring,tas_summer,pr_winter,pr_spring,pr_summer,sfcWind_winter,sfcWind_spring,sfcWind_summer,hurs_winter,hurs_spring,hurs_summer,hfls_winter,hfls_spring,hfls_summer,VPD_winter,VPD_spring,VPD_summer,mrso_winter,mrso_spring,mrso_summer,evspsbl_winter,evspsbl_spring,evspsbl_summer
Temperate Steppe Regime Mountains,1.000808134962585,0.9282863627490521,0.8792852707696608,2.9407934737516496e-06,3.937579116954536e-06,5.335675527172378e-06,0.1651484998089081,0.20214647685830237,0.09881795124885372,2.7601767650327615,3.2465471570485036,3.8173172825247152,0.5838552848556179,2.1668074671673203,4.1666746424482906,24.56051804356799,53.267754359339044,147.63371265631386,32.0547083976198,43.661787280770525,30.567711952118348,4.475331289712052e-07,1.717670174137117e-06,3.3323206299120605e-06
Marine Regime Mountains,0.7881093202933437,0.884895199612451,0.7685942938136159,1.3096580151296162e-05,8.010908132520917e-06,3.371203769196491e-06,0.2981742649464268,0.22887803110486066,0.14876748789028213,1.270932766955308,1.6289176902814249,2.1755088327436507,1.3020077155649383,1.225337791640571,1.27492663045178,10.028404810258879,32.1107848522526,75.55833850101116,15.31268231369798,11.940812381844228,11.047138979164634,1.0356980710394637e-06,9.80843997568543e-07,1.0195605953900255e-06
Temperate Desert Division,0.974796007814006,1.0156319766359088,0.9297596189927791,4.182378657376685e-06,4.549341373651772e-06,3.754331965660333e-06,0.1403905694267126,0.19799188016109875,0.10391606027501926,3.0602065161975505,3.7636264922045557,3.6336221104531727,0.5208427963205174,2.0813410818856113,3.7553694442289802,27.583858717453428,72.48031544767844,162.62479260845848,31.11183521533143,40.20071664386547,27.511746095859653,4.1209952240663167e-07,1.655796159520058e-06,3.003364359825182e-06
Tropical/Subtropical Desert Division,0.771478923715074,0.8430213782146099,0.7571737420638499,4.292733980637511e-06,2.7641204503993157e-06,4.601322326593014e-06,0.09905232915637044,0.23001120316098927,0.12365204399718686,5.913614185950409,4.450807052119864,3.2158555937087954,2.0860274510022303,3.1740878377137776,3.7168952567567777,94.45400017707712,142.10150883345935,200.47255178830238,23.667193468111556,25.666831620993275,19.435267296420303,1.666479011736338e-06,2.5379782995526257e-06,2.97254005607601e-06
Tropical/Subtropical Steppe Division,0.8579150420529742,0.8079950295203041,0.7585927654486061,4.530086819582243e-06,5.1912162467421705e-06,5.444853467930155e-06,0.1286371338784143,0.2895121336774721,0.21185429532447206,5.659842432339223,4.5589400107812414,3.3360728174530543,1.6251675854705543,3.4418805878432357,4.312265641405519,81.68721688168151,125.53352751497577,195.6447397094964,29.442049945898898,29.56306394435413,24.74656908023008,1.2975973087840504e-06,2.751004132643579e-06,3.4487056819048737e-06
Tropical/Subtropical Regime Mountains,0.8935626752951539,0.9563120781069715,0.9203996671632486,4.17948681127874e-06,4.264612320133319e-06,7.3420331876208705e-06,0.13693104003082365,0.31727329625819717,0.18148899876930663,6.943468070900311,6.194289562759498,4.833761391161601,1.9762390736598556,4.913455265313689,6.436567688764729,83.56765473979297,157.50798273789744,236.7754958317597,41.739442213213856,45.948215949483114,35.649730530568974,1.5691878470560727e-06,3.923011747156118e-06,5.147662413147848e-06
Mediterranean Regime Mountains,0.7139370484926449,0.9235598104047222,0.5563822999005127,9.41913495136208e-06,7.3113551706687315e-06,1.2815578903523067e-06,0.192188122178605,0.21073153341302586,0.12273061870878813,2.9455848184991593,2.7318581087092957,1.6954435358064988,1.8081321330801978,1.795303520903621,1.8635359075046072,36.19772055576782,69.69635158514922,84.1934999093165,23.172402603384306,23.555108247875495,15.19083516837828,1.4373479187867402e-06,1.4326653498766097e-06,1.4903360952225934e-06
Mediterranean Division,0.6675650586353751,0.8379389777260456,0.509062083907475,9.819755330514828e-06,7.419488696509822e-06,1.1012075706220499e-06,0.23788301764900746,0.23714616491391788,0.18244117155713857,2.29573627642396,1.9211402682390428,1.269164371641441,2.6600305183851245,2.0392975698889253,1.7494747603052994,28.825133163850836,47.39225131339862,54.99920541337314,18.465831824096522,18.353387342711855,11.230182174554079,2.1217221020457367e-06,1.6288230410319967e-06,1.3991324224939978e-06
Temperate Desert Regime Mountains,1.074531554423422,1.1816466666019965,1.045383900472687,3.1359369126346652e-06,3.7686184955350013e-06,2.6963204380151028e-06,0.13208028699330587,0.2378071544029593,0.15878002318473927,4.591261836155287,5.234887864114399,3.4922817600765375,0.8253577868841356,3.6395622406660717,4.057099612195992,45.57912908133932,115.19915222037578,209.0400287887203,32.717375539593256,46.879192208272904,30.082992593780368,6.536144861616638e-07,2.9035330587007064e-06,3.244639979312639e-06
